epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,100.932,1.48889,3.97059,5.52081,0.01987,8.39186,0.3482,0.04873,0.04507,0.03297,0.39986,0.03835,0.03195,0.01924,1.40455,3.47217,4.53747,0.02701,0,0.00011676,0.00011676,0.00011676
2,142.872,1.21283,3.08866,4.42042,0.01426,6.81409,0.26135,0.18071,0.13038,0.09622,0.29667,0.15243,0.10358,0.07332,1.22222,3.01512,3.6149,0.02302,0,0.000235337,0.000235337,0.000235337
3,195.293,1.18716,2.85783,3.5937,0.0142,5.28045,0.46039,0.27517,0.22333,0.16054,0.4222,0.22081,0.17828,0.13166,1.2385,2.79336,3.02038,0.02264,0,0.000351519,0.000351519,0.000351519
4,245.428,1.21008,2.78065,3.01003,0.01457,4.20678,0.57595,0.34912,0.36512,0.26496,0.56355,0.27566,0.30464,0.21604,1.22664,2.63886,2.26343,0.0221,0,0.000404615,0.000404615,0.000404615
5,297.582,1.21158,2.70319,2.65204,0.01435,3.51958,0.56465,0.40692,0.39428,0.28016,0.49716,0.35459,0.32535,0.23426,1.23113,2.36849,2.00777,0.02262,0,0.000400487,0.000400487,0.000400487
6,348.7,1.18068,2.63445,2.4043,0.01566,3.10538,0.64094,0.42278,0.4576,0.31411,0.5524,0.34006,0.35853,0.2452,1.25849,2.45989,2.23353,0.02285,0,0.000396358,0.000396358,0.000396358
7,401.365,1.26024,2.65256,2.22222,0.01565,2.87612,0.60993,0.43651,0.4804,0.34348,0.59027,0.38774,0.3998,0.26986,1.23666,2.49756,1.80708,0.02153,0,0.00039223,0.00039223,0.00039223
8,454.23,1.18169,2.5222,2.06692,0.01445,2.66049,0.64155,0.44511,0.49203,0.35886,0.61456,0.37325,0.41149,0.28988,1.24592,2.13263,1.73225,0.02258,0,0.000388102,0.000388102,0.000388102
9,507.243,1.17488,2.45973,1.92699,0.01387,2.52074,0.63865,0.48922,0.50836,0.3761,0.55389,0.39671,0.41253,0.28409,1.23078,2.26923,1.61968,0.02116,0,0.000383974,0.000383974,0.000383974
10,556.29,1.1704,2.50691,1.91148,0.01438,2.42943,0.74177,0.47752,0.53783,0.40042,0.63402,0.39686,0.4227,0.30026,1.1862,2.14072,1.53347,0.02124,0,0.000379845,0.000379845,0.000379845
11,608.504,1.17134,2.43294,1.83502,0.01352,2.35124,0.71485,0.51062,0.56494,0.39543,0.60589,0.41604,0.4495,0.31803,1.20987,2.18531,1.64652,0.02223,0,0.000375717,0.000375717,0.000375717
12,661.946,1.14995,2.43347,1.81567,0.01411,2.2772,0.62877,0.50012,0.52479,0.38416,0.55599,0.41479,0.43754,0.29949,1.1797,2.14799,1.67476,0.02108,0,0.000371589,0.000371589,0.000371589
13,714.328,1.1702,2.43851,1.77817,0.01417,2.22621,0.65382,0.48643,0.54801,0.3932,0.61545,0.39119,0.43978,0.29534,1.23297,2.24088,1.60316,0.02245,0,0.00036746,0.00036746,0.00036746
14,764.614,1.16178,2.36329,1.68141,0.01389,2.15594,0.6866,0.54595,0.57002,0.40446,0.58409,0.4476,0.4631,0.30721,1.24597,2.10423,1.4757,0.02222,0,0.000363332,0.000363332,0.000363332
15,813.202,1.13919,2.39836,1.72795,0.01426,2.04141,0.70419,0.55713,0.60975,0.44859,0.61134,0.46758,0.50078,0.34803,1.17822,2.10897,1.3782,0.02043,0,0.000359204,0.000359204,0.000359204
16,866.195,1.11647,2.28008,1.6422,0.01296,1.81694,0.75444,0.56705,0.613,0.44419,0.67082,0.47938,0.51117,0.35578,1.17665,2.06144,1.21866,0.02079,0,0.000355076,0.000355076,0.000355076
17,911.396,1.08794,2.34552,1.54682,0.01366,1.72252,0.75494,0.5789,0.63417,0.47402,0.64268,0.47612,0.51185,0.35426,1.03534,2.03247,1.36394,0.01789,0,0.000350947,0.000350947,0.000350947
18,963.452,1.1188,2.28679,1.50519,0.01371,1.66284,0.80329,0.52209,0.62449,0.47347,0.69833,0.45192,0.51544,0.363,1.0716,1.99382,1.279,0.01858,0,0.000346819,0.000346819,0.000346819
19,1007.91,1.09705,2.31015,1.5388,0.01353,1.54641,0.72539,0.56607,0.5961,0.45031,0.65987,0.49064,0.5024,0.35405,1.10885,2.01253,1.31971,0.01925,0,0.000342691,0.000342691,0.000342691
20,1060.54,1.05339,2.18108,1.4428,0.01271,1.35942,0.74845,0.58667,0.6369,0.46929,0.67083,0.50442,0.53186,0.36858,1.09483,1.86543,1.20494,0.0187,0,0.000338562,0.000338562,0.000338562
21,1110.25,1.09558,2.13437,1.43096,0.01251,1.25812,0.74463,0.55781,0.61137,0.45913,0.64898,0.48074,0.50619,0.35482,1.15505,2.05976,1.26147,0.01922,0,0.000334434,0.000334434,0.000334434
22,1157.31,1.06476,2.2021,1.36789,0.01219,1.22188,0.7196,0.63291,0.66145,0.49566,0.62614,0.52957,0.5395,0.37148,1.12851,2.05464,1.06293,0.01939,0,0.000330306,0.000330306,0.000330306
23,1204.31,1.06293,2.12901,1.37772,0.01293,1.17692,0.80339,0.57032,0.65634,0.48812,0.651,0.52792,0.54463,0.37878,1.10405,1.87745,1.12278,0.01848,0,0.000326177,0.000326177,0.000326177
24,1253.76,1.09436,2.19914,1.38758,0.01246,1.17254,0.74163,0.61248,0.64987,0.48785,0.64664,0.50945,0.53234,0.36192,1.0814,1.91006,1.19924,0.01808,0,0.000322049,0.000322049,0.000322049
25,1300.77,1.04403,2.152,1.34007,0.0125,1.10396,0.75016,0.58428,0.66342,0.50302,0.7016,0.49347,0.56347,0.38911,1.05239,1.73614,1.13119,0.01715,0,0.000317921,0.000317921,0.000317921
26,1351.91,1.08205,2.16645,1.3841,0.0131,1.11032,0.70004,0.66626,0.68721,0.52148,0.59893,0.55239,0.55735,0.3934,1.05687,1.88821,1.09501,0.01803,0,0.000313792,0.000313792,0.000313792
27,1399.19,1.0328,2.1024,1.32205,0.0122,1.0116,0.78063,0.59421,0.67718,0.5008,0.67401,0.50378,0.55043,0.38618,1.06291,1.79509,1.19514,0.01813,0,0.000309664,0.000309664,0.000309664
28,1448.1,1.04647,2.02564,1.2818,0.01209,0.95179,0.75133,0.63614,0.70358,0.52144,0.6344,0.54265,0.55013,0.38448,1.12674,1.7699,1.00915,0.0183,0,0.000305536,0.000305536,0.000305536
29,1500.65,1.04352,2.13411,1.29697,0.01255,0.89463,0.63598,0.60188,0.6694,0.49624,0.54563,0.51956,0.55565,0.37912,1.14752,1.85899,1.20176,0.02079,0,0.000301408,0.000301408,0.000301408
30,1547.91,1.03198,2.00035,1.28984,0.01175,0.8387,0.7588,0.63161,0.68039,0.52111,0.59892,0.54242,0.55969,0.38719,1.08086,1.73824,1.05805,0.01822,0,0.000297279,0.000297279,0.000297279
31,1593.28,1.03153,2.06474,1.2678,0.01189,0.86147,0.75388,0.65595,0.70073,0.53403,0.63714,0.5449,0.56221,0.39373,1.02954,1.84067,0.93393,0.01697,0,0.000293151,0.000293151,0.000293151
32,1641.2,0.99648,1.98316,1.2072,0.01159,0.77601,0.70144,0.69516,0.70514,0.52547,0.60559,0.58966,0.58815,0.41058,1.07085,1.78641,0.9784,0.01792,0,0.000289023,0.000289023,0.000289023
33,1688.11,1.00516,2.0043,1.18505,0.01168,0.77329,0.67999,0.65228,0.69452,0.53258,0.68447,0.51599,0.57083,0.40013,1.03516,1.7376,0.97768,0.01695,0,0.000284894,0.000284894,0.000284894
34,1733.97,1.00772,1.9521,1.14844,0.01125,0.73922,0.63922,0.68598,0.69756,0.53217,0.51662,0.60065,0.57171,0.38978,1.02487,1.85372,1.04812,0.0171,0,0.000280766,0.000280766,0.000280766
35,1782.16,1.01304,2.01338,1.17076,0.01254,0.8047,0.69699,0.63671,0.70616,0.53849,0.74099,0.50376,0.5834,0.39786,1.05174,1.9028,0.95065,0.0173,0,0.000276638,0.000276638,0.000276638
36,1830.54,1.03496,2.01343,1.22006,0.01207,0.77908,0.78723,0.65753,0.70997,0.53559,0.69123,0.56795,0.58206,0.40342,1.08562,1.73764,0.98314,0.0187,0,0.000272509,0.000272509,0.000272509
37,1878.65,1.00337,1.98417,1.15612,0.011,0.77124,0.75216,0.67175,0.70305,0.54216,0.67778,0.59303,0.58321,0.40602,1.04451,1.71161,0.98379,0.01721,0,0.000268381,0.000268381,0.000268381
38,1925.57,0.99991,1.99854,1.15265,0.01119,0.77431,0.80564,0.62373,0.76124,0.5722,0.70928,0.52784,0.62142,0.44083,1.10399,1.78333,0.98018,0.02033,0,0.000264253,0.000264253,0.000264253
39,1973.51,0.98768,2.00375,1.11771,0.01144,0.76306,0.78193,0.6422,0.7041,0.53473,0.6831,0.54823,0.57573,0.39887,1.05043,1.83058,1.05035,0.01731,0,0.000260125,0.000260125,0.000260125
40,2019.17,0.9941,1.95228,1.13283,0.01124,0.72822,0.76701,0.65706,0.70511,0.54569,0.67678,0.56691,0.57397,0.41139,1.01519,1.79452,0.98959,0.01668,0,0.000255996,0.000255996,0.000255996
41,2064.73,1.00056,1.91823,1.10283,0.01117,0.72185,0.83681,0.67078,0.73323,0.57281,0.73352,0.57596,0.60065,0.42236,1.02445,1.79144,0.95009,0.01616,0,0.000251868,0.000251868,0.000251868
42,2110.11,0.9852,2.01139,1.13036,0.01102,0.75095,0.77111,0.6635,0.71842,0.54252,0.67363,0.56244,0.58351,0.40941,1.09372,1.72472,0.91694,0.01875,0,0.00024774,0.00024774,0.00024774
43,2156.69,0.98742,1.84901,1.06379,0.01019,0.68588,0.77694,0.66945,0.71205,0.53914,0.68299,0.5568,0.57483,0.4068,1.07912,1.7215,0.9027,0.01792,0,0.000243611,0.000243611,0.000243611
44,2204.62,0.94495,1.86055,1.02255,0.01035,0.69226,0.69969,0.7328,0.75887,0.58879,0.60999,0.62106,0.62152,0.41294,1.03362,1.76005,0.92451,0.01736,0,0.000239483,0.000239483,0.000239483
45,2253.22,0.98349,1.93757,1.07819,0.01098,0.72966,0.76393,0.66461,0.75032,0.58222,0.66111,0.55161,0.61107,0.41669,1.02049,1.77108,0.90649,0.01712,0,0.000235355,0.000235355,0.000235355
46,2298.56,0.94557,1.87634,1.04435,0.01035,0.66635,0.70834,0.72586,0.76193,0.59811,0.60704,0.62508,0.62822,0.422,1.0045,1.79818,0.82406,0.01652,0,0.000231226,0.000231226,0.000231226
47,2346.08,0.95593,1.79351,1.04086,0.01052,0.67556,0.71611,0.70271,0.75587,0.58784,0.59123,0.58918,0.61316,0.43833,1.00116,1.65722,0.86846,0.01675,0,0.000227098,0.000227098,0.000227098
48,2396.59,0.93785,1.84546,1.04067,0.01057,0.66423,0.66002,0.75321,0.78237,0.60498,0.57197,0.64737,0.64774,0.44341,0.9995,1.66046,0.87282,0.01557,0,0.00022297,0.00022297,0.00022297
49,2442.57,0.92432,1.82036,1.0119,0.01011,0.65594,0.80325,0.7128,0.77954,0.59807,0.71446,0.60247,0.64099,0.44396,0.9988,1.61781,0.8211,0.01574,0,0.000218842,0.000218842,0.000218842
